,ENGoogleTranslate,finalLabel3Classes,target
37,can maving stanching omch banching out of meopdent dectaban ceccajusta deccajusta deccajust dearban out juniojustrain cccanke partabander party statty statty statty party floor,POS,1
38,its part of nature poan keping theme all the money in the money to take others,POS,1
39,dont pray zum me but the kids have their own stuff,POS,1
40,peace my children when daddys father door eaten all money to the board also eats fat,POS,1
41,people who didnt go to boarding see seen,NEG,2
42,what about the people who will say this quest is an hour,NEU,0
43,make him eat nuts that he doesnt eat to not eat him,NEG,2
44,sir what you say resvas very grt sense borthe hist to carty back for yoim forhe harger for yoim forhe hist of yoro party pnowing you trighted,NEG,2
45,people are create,NEU,0
46,in prayer and move people to lestons,NEU,0
47,tell them in my identity and not children in the dog,NEG,2
48,removing zanu pf challenges haiaa people in drama focus real zero,NEU,0
49,come brukeh for pics and quotes kindly click this,NEG,2
50,isnt it really called prominence if jah prayzah commits crime it would be loy de williah what was look goat,POS,1
51,at warning when he comes to baby,POS,1
52,fear of god essentials hoody silicic print textile blacksizes swipe to last picéestuals harare zimbabwe,POS,1
53,of the renson era inside leaves sindom and golded reman of god and deels bible then they sat down and when the children were born,NEU,0
54,of your offspring the mutant and,NEG,2
55,ggggggggg levels of swamp plus slices flizz facilitated with keed prostivitites to walk our streets at the same time back,NEG,2
56,starts with you not treati like people think,POS,1
57,but they want to shed money with anoo sharoa learn or perish,NEU,0
58,while still on thinking of such people it is,NEG,2
59,of gwee bought etym never arrived,NEG,2
60,but still dont judge people for expressing themselves everyone has their own sandle on twitter,NEG,2
61,they are tangoes of these people,POS,1
62,this is true piciture of zanupf way of thinking picuter of theiir heart the rat and ruthless evils so sadsometime see these children ann and wonder really kpf is playing with it is it very cruel vary evil,NEG,2
63,is wot paligrance wue diligence wire is the rsponsibility of the authorized dealers,NEG,2
64,iron and pens,NEU,0
65,ride with our hardships fake about all things things are well is what hat hat usay from hello let person weep over people helping,POS,1
66,ski thinks to pour the sand ofs savose that cut with the burning of people in at times to silence no bad kna without saying,NEG,2
67,children who were driving ignores nothing it would even be withna brown argar if sniper is still traveling in industry person that pioneer to start in zoras year and copie,NEG,2
68,thats hows how economies including our ow shoud work,NEU,0
69,gwo receives the same message from shadaa as from angel,NEU,0
70,what your food is eaten thats meal you would been loon loerous for diey long day mmmmmmm,NEG,2
71,say father ed isnt logical then to wear the arpiece for translation you have gone down ed is joke,NEG,2
72,ahh kho then the men came to have totally hit,NEG,2
73,ccc cashvist in new york has scandalous license including the dissolution of the african union who would be supporters,NEG,2
74,hahaha harare spending the masss,NEU,0
75,one bedroom flat available for rent in resurrentsspicious and verrent is an inclytcuponacupon on the link below for more information,NEG,2
76,people put in instagram handles their patrol said praice follar me on instal lt lt lt lt lt lt lt lt lt lt lt lt lt lt lt lt lt lt lt lt lt lt lt lt lt,NEU,0
77,dad is cooking their pump nonsense,NEG,2
78,people here they are already right,NEG,2
79,mindwappa commercial industrial property for sale this m² commercial property is located in recognized and renovated area this property has buildings that are on the m² of land the property sits just above fro,POS,1
80,the veteran actress had sufered stroke severael years agomore to follow,NEU,0
81,doors do not change the rite on the market of whirns of white people in sanan today have changed,NEG,2
82,this has completed sports thats the man right,NEG,2
83,crew raana chashed and her counii big to back to back to be bestional quantity witt too mach,POS,1
84,you are so like beautu,POS,1
85,chooses the feelings of when,NEU,0
86,gali all those who have not been fooling the yill with an ox with an ogi dougie yellow dougie the yellow dow,NEU,0
87,bakeka to home,NEG,2
88,hate and winny weews for the people heal with holy with heazantry whits,NEG,2
89,gaa ina is the people who are murderers,NEG,2
90,acining back home,POS,1
91,people seem to be late getting to the heart of the story,POS,1
92,ve hu righter or wrongs to relate to person,NEG,2
93,the reserva bank of zimbabwe freezees harare city councils bank account,POS,1
94,is always had fending that burna boy ends the mechar to the walls of the walls,NEG,2
95,have gathering father,POS,1
96,aahs who are these people who are amazing they took off the ring that came to campus,NEG,2
97,life of visitite therewhoked after the fie to ask how are you going wats your story,POS,1
98,doesa you have no formula this is the hatter of these people,NEG,2
99,at the end of the day shadaya paints them all,NEG,2
100,says the best hake varia success is six times day,POS,1
101,doesaaaaaaaa guys person just diet and turn to my slay queen hre,NEG,2
102,around is got into gerabu in the evening and told cab to ta cub to ta to hotel and he drave me to thick by the time trie to go oddda and ask ito is an attari shatter routi he was gonh and the wasi ritle noisy bar by the corner,NEG,2
103,forgot to switch roles the people soo,POS,1
104,ga is title for help,NEU,0
105,mindwazeza jiseza house for sale color bedroom and bathroom and toilet open plan dining room and living room kitchengood security rolled and fencedthetiza highdesity harareproperties,NEG,2
106,gwa vagpses of the inpubble is not gospel with mampedias mother rejected which of ice it iths called gospel,NEU,0
107,said money doesnt eat without the mother,POS,1
108,because ice cream doesnt satisfy your hungry people,NEG,2
109,not on bad note on british star they will be naked,NEU,0
110,jah praizer is the biggest artist in zimbabwe,POS,1
111,conftent meat,NEU,0
112,is plan that he is willing to find the supportters eransformation of this,NEG,2
113,ga may they are mothers mother all that is gaming so mummy is the cruelty,NEG,2
114,not talking about shadaa the son discuss the points of it,NEG,2
115,chicken posada but you ate away from home,POS,1
116,gau bring it to see what has already done,POS,1
117,chica candy are not your photos always remind me of soul jah love,POS,1
118,mmmmh come here,POS,1
119,is there acts of the printing to apply me to rock how to hate him shakee,NEG,2
120,they do not end up father,NEU,0
121,mindwazeza jiseza house for sale color bedroom and bathroom and toilet open plan dining room and living room cocinabuena security cried and fenced mindwaza highdesity harareleropeies,NEU,0
122,doesnt the people bro,NEU,0
123,vice president constaninople chilling exwife marry standard was on criday profillment was on part of her right in private harry gt,NEG,2
124,is tende tende screenshot of these gijones she can even slum,NEU,0
125,am recruited mers cr and salah but yah to people who faint the ball iii,POS,1
126,wannabes alphas with feminist must date each ovahs people have lotmmism,NEG,2
127,ga people are wearing,NEG,2
128,saw some saying that you have been overwhelmed by gods prayer worships,NEG,2
129,chitungwizza barja bar and general dealer shop sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tailed for sale tiled walened ant the bandda waley busy shopping africa newly built the shopping center is one of the busiest ay bossiness will do,POS,1
130,migrants like the year,POS,1
131,but with het is through hamen in south africa for humanitarian governments to support home is home your mine is home and you cant dare because youre poor,POS,1
132,doesnt lets teasing ourselves to workman when you make loss thats its its its itas ita to gaint their money,POS,1
133,love that baby,POS,1
134,private homes on on kings metroad located in the heart of borrowdale hararevrorty zimbabwe harare bularawo victorai victorian united states,POS,1
135,is my wearing suit and move up to shoes that is fashion looking for transport of the irrorq,POS,1
136,this habit just started disorder members just functionary and then we have arrived,NEU,0
137,bsesed is the mantly salketh not in the endelynor standether in the way of sinnes great is jah,POS,1
138,is that he cooks the forest on fire and brings him water and drinks,NEU,0
139,ga lying where is that water,NEG,2
140,strategys way of car and way of cow cart or at home not at home,NEG,2
141,this is how economies including ours should work,NEU,0
142,in harare just let myself try populated bomber pea so mach immediately fell in love with taste the great outdoors zimbabwes own lager beer,POS,1
143,my tweet of the month kkkkk,POS,1
144,people and said the truth they never admit,NEU,0
145,butt on shadaah lost,NEG,2
146,has cooked this nutrition pity you want to be in the belly like kkkk,NEG,2
147,with the rat that breaked out with wah east by wilt blader,NEG,2
148,we mean that some think that we are filled with new wine people just have structure and not selfesteem,POS,1
149,shock people people are shocking kaia,NEG,2
150,neros dying to the mongon,NEG,2
151,am sent to buy the eggs eggs and purchased the pamper here at home no baby baby,POS,1
152,the gcycle was heartless,NEG,2
153,ga mumble ung homeboy,POS,1
154,every minute they take it away from the father,POS,1
155,exactly my point people dont just run to justify that jaze is what she is everyone has different level backgrounds and pagelietoto to believe in love,NEU,0
156,the olfal one you cook for family of evenly eat like the kings kids to be more nursing,POS,1
157,if he struck satan how long is it only killing him rather than to leave people,NEG,2
158,forex trading more than the money,NEU,0
159,water we dig for lights,NEU,0
160,thank you my daddy,POS,1
161,see like drunken susponsion as imsum like father who is no longer satisfied,NEG,2
162,arlington estate north of harare near harare international corporation propet lessal corporation propetian properean propet lessal corporation propetian properean propere zilawayshare zilawayo victorivo zimbabwe zimbabwe,NEU,0
163,inside room available for rent in beadge ridgeview hararesspicious and very secure placevalatedsspicious and very secure sspicious and very secure sspicious and very secure sspicious and very secure sspicious and very secure placevalatedsspicious and very secure placevalable for immedyas occupation for more information,POS,1
164,instruct no mood is not overwhelmedwhat does it go,NEU,0
165,doesnt say people rejected days,NEG,2
166,dont like people who act like imperfect,NEG,2
167,us man dont have meal to eat around the gunners,POS,1
168,wow but its picnic with baby rollovers,NEG,2
169,lol this is funny what they are real people,NEU,0
170,contain like marriage in the zim context is not about the people its about the families and the community even if the families actuate to no lobola now your wife wife is at function and your couughing that this is single then the teal theiir friends,NEG,2
171,but jahman did you go to the oprah breast,NEG,2
172,meet sameone from twitter recognized her from the twittergram section what theater both,POS,1
173,gaaaa is no longer neo folder,NEG,2
174,who hits will vakheonly kunvoras didcormism the decomem partactive is lossiming complarism than storebut hos stayed true to the code,NEG,2
175,confedence has planned dressing like fruit people are not incomfail,NEG,2
176,am happy with better water have drunk but on away of the gym promady promots me,NEG,2
177,this is crazy kkkkkk,NEG,2
178,fear of god essentials nylon active shorts greyindsizes swipe to last picéestuals herft harare zimbabwe,POS,1
179,cars are car dad,POS,1
180,picking fielings shapea when,NEU,0
182,prodom is not to see that am your father,POS,1
183,with the rat at which poopred on with wah wast by wilt blder,NEG,2
184,is shamed dilein stay at home,NEG,2
185,not insits for employment despite knowing mel has talked to someone,POS,1
186,virgin is someone who has no child,NEG,2
187,telling your last child or aludohoo you really tell him deeply to be played they know what they do to stay calm,NEU,0
188,zomasa said it doesnt have water for pumper electricity hot has also called hinas electrical lights to pumper rubbly and see drunkardian,NEG,2
189,has father who is crucified in ama,NEU,0
190,sand dad,NEG,2
191,drawing by freeman hkd by art teacher zwg,NEU,0
192,to do research the poditive comments is at the bad,NEG,2
193,shiffo is not particularly just for its small tash its an easier to exchange people,NEG,2
194,not cursing you she doesnt you dont the deserve that lol just telling you gamo,NEG,2
195,but dont team repall review real hunger,NEG,2
196,hahaha uri kuvaziva vanhu ivavo and if they see you eating good and glowing watova suspect coz they know what theyre paying you isnt enough vanenge vakutoda kuita lifestyle audit,POS,1
197,kids of what vessel have told him,NEU,0
198,in doing baby,POS,1
199,to some unhealthy meat without moving sign up,NEG,2
200,with people graft,NEU,0
201,is our zult folly that real talkm talkm talk do space we hear the father harant to talk of wanna see something,NEG,2
202,then is shadaye covering his babe where he loves it,POS,1
203,mr mor mr party disteut structures party run bfmr resa has stopped harare and counlors his own people not even oce have seen him with them or comment athwhat venture ubawhat ubawhat ubawhat bow in hre amp is whats shall see in fiturra nothing zero,NEG,2
204,children young nxi nxi nxi,NEU,0
205,pa havere can never leave shadaya to do her thing,POS,1
206,this is the worlds oldest profession it doesnt matter by econonom this is just shared you have different from those who are the sanctions are causing people to do the durugs be realistic and stap politicizing things,POS,1
207,ga drawn to these people we have zanuple and zanuple mast go them,NEU,0
208,think grasp the problem dont understand shadaa you,NEU,0
209,medicine hot does it affected the birds,NEU,0
210,may youre uprooted,POS,1
211,any truth to know that in zimbabwe stopped is the need for people,POS,1
212,do you crow that girls are having anal sex and stills remain virgin ahhh the people are not afraid,NEG,2
213,courtshiip people dont like it has topic,POS,1
214,shang never for youanywanye ye do not leave people who love you and go for you,NEG,2
215,ndo have the same,NEG,2
216,industrial property to rent in the murser usd pm robertroot propertybezw,POS,1
217,chitungwizza barja bar and general dealer shop sale queue for sale queue for sale queue for sale queue for sale queue for sale queue for sale queue for sale queue for sale queue for sale queue for sale queue for sale queue for sale queue for sale buy queue for sale queue for sale queue for sale queue for sale tiled walened ant die bandda waley busy shopping afrika nuutgebou the mall is one of the busiest that ay bossiness will do,POS,1
218,good mood just reminder for all the month of september for septembers monthly mobes and lanst borns and lamps and lamps and lamps,NEU,0
219,your baby,NEG,2
220,dugie rest people dont win the humple yoursef and knoow that has stopped the only mate,NEU,0
221,im surposing this is only for those truly love not kids kitseau roaring,POS,1
222,come down and put you down there no goodings and kindness,NEG,2
223,had no ages for this,NEG,2
224,when the full cable can get good cows with usd so on thaza get your strongest cat just sharing,POS,1
225,is what you are about people,NEG,2
226,as ghetto kid is looking for,POS,1
227,hoyoo thanks baby baby,POS,1
228,what this is doing how,NEG,2
229,is this sick of this village hre,NEG,2
230,this story,NEU,0
231,foods hokoah,NEU,0
232,hana this onrisan means that god does not play for kerms he wants ria chances and spirits cz is more and clandestine would like to tell his story,POS,1
233,so people are already doing masleepover,NEU,0
234,children children are already seeing their mother like,NEU,0
235,mindwaza in nicapty put up board oral welcome to chitungwiza last week today is wave of free,POS,1
236,hangy people can run outside only women go out statement is your worth,POS,1
237,dont care about people,POS,1
238,gazicher even make fools,NEG,2
239,he mast be precise he wants year for this,NEG,2
240,ga days the people of the angots awesome magutss horror kana all in the name of shooting their,NEG,2
241,ga she is baby loves mavn hakey,POS,1
242,and then come out from the window to your house start shutting up windw little bit hear your fathers leave will shut do you contininue and journey and go back to the house or dont go back at all,POS,1
243,industrial property for sale in mt hampden usd heavenaneanrealeecate propertybookzw,POS,1
244,or resentant is ñelock in the bathroom hauaa we will probably finish we eat you prepared for the round,NEG,2
245,multiple children dont leave the work of thomas clips is now usd udacling where,NEG,2
246,these figures haako but the health sector ine vanhu varikuwana mari yadonor this is where civil servants suffer paying teachers living wage savings our education,POS,1
247,go to my timeline it is also in the cykashi but dont want us to throw your children lets leave her out of our games,POS,1
248,every child of zanu pf and meet metara thus const sauturday,NEG,2
249,doesnt appear in tonoz offer we all hit the drip that this is red with spine of the pateto,NEU,0
250,the onto that music is to make it in zimdancehall are as fools wanja presidentwafta who else made,POS,1
251,is the lamps with wome on this rees,NEG,2
252,ma has stopped my people,NEU,0
253,dancing until the bridegroom looks liked,NEG,2
254,went on the hospital wanting my friend to be stastches for all of the usernarms and missed my relatives is muszlance is nicki is to transport to hospital,NEG,2
255,muse doesnt put people on scale,NEU,0
256,but the cost of living was low and everyone could buy basics,NEG,2
257,has little boy that not everyone could have,POS,1
258,has charge for this boy,NEG,2
259,was fighting this and talks had alreadey started he is in his so at what uga did he go to war promptly call back for the future our history needs to be rewritten some comraades harant been to the bush amp can pull the ak trigger,NEU,0
260,,POS,1
261,was cried the other one,NEU,0
262,that reminds me of the days whes have mad money at coney puvanga to be fathers the father of the bakes women paid them usd just as kids coulda get passports because in dedes rule was no fama no passport even the officitanis kine and made deesndations they mada money,NEG,2
263,is his milk seemingly appeared or im my worthy sight,POS,1
264,so at the notopsters vehicles with your father and close the winch plasers about what we do,NEG,2
265,withholding those people,NEG,2
266,is where is the victims self,NEU,0
267,stop hourting the persone off,NEG,2
268,what if he is talking about his workshop or at his home,POS,1
269,shaa sample with emotions in,NEU,0
270,susan had people that was good diverse of this poetry will not mention ywed feel this whole оle of putting hes nume on everything is terriling is territorymakes it simony and cultic for anything,POS,1
271,mugabe dont land education freedow mottt all is not history because of ed,POS,1
272,is why you are single blocking people outside,NEG,2
273,now where there is no woes deeter dei already going to talk to radio zimbabwe,NEG,2
274,if required is covery meat only virginity no longer have lot that is completed before,NEG,2
275,the government just put the teeners of teacher in beam noti threshing procasses of willingness to pay for childrens school ga,NEG,2
276,didnt have food,NEU,0
277,but only the ropes that complained put electricity in zimbabwe we dont know what am in the children victims house would be solar powered meat meat were already taken honey,NEU,0
278,yes most of my clients are under mender and couple of them won houses each in harare,POS,1
279,drop cattle,NEU,0
281,want to give you one for the restricted to start child,NEG,2
282,is this mumping,NEG,2
283,children are found,POS,1
284,is still amelilian or even fun youre really goodmine if die if die if die if die if die if die dont cook the people only bcz would be overwhelming,NEG,2
285,tittaaaaaaaaaaaaaaaaaaaaaanaforder put in treatment of treatment that you were to feel like yoke of the country,NEG,2
286,doesnt have this heavy they dont like people who treat them in the sky they need those of the rough,NEG,2
287,dont like calm people just said tell you,POS,1
288,is doto even remember the last time didnt,NEU,0
289,kikika in kakika home amana in construction is not your own,NEG,2
290,then think long as we still have always wave,NEU,0
291,ive joined mushroom my brother with money we just eaten one bushes with fain all day could as the mouth has been paralyzed but dont know they dont want to buy food,NEG,2
292,arlington estate north of harare close to harare international corporation propet lessal corporation propetian properean propet lessal corporation propetian properean propere zilawayshare zilawayo victorivo zimbabwe zimbabwe,NEU,0
293,shall be people,NEU,0
294,people people are not so cute,NEG,2
295,father abraham alive,NEG,2
296,take your sisters sit with your brother when your kids are your sister or homework it is not wrong to live with mother plus when they dont agree,NEG,2
297,plate for the titt was just silking chyssing the entire fash that is already left there,NEU,0
298,to walls remember and the greater ghost mate shaty and marta are the cows and rnefats the kan pants,NEU,0
299,the children have received satan on the houses of the mumans let him get fashioned to get used to,NEG,2
300,staps this,NEG,2
301,gaah chalfraling god ask mwakonzora he was labelled sellout zanu project where wanting to contest nero was in lawbress,NEG,2
302,if you wannna sees typa moms referred to by shadaiah is those who have children called excluded as the biological foreather of the tsted rld,NEU,0
303,has not yet reached this,NEU,0
304,kamface was raised baby meat that walked through adam,NEG,2
305,of tell of them start afar off to king shadayhavoato,NEG,2
306,you say this is person who has tried more or zimdancell real,NEU,0
307,dekin that is spending the people who are in loota if the good world is,NEG,2
308,ga come here to listen,POS,1
309,he is like the work hourss day and on ovangai hand he is like the tarens doon what is this cooking kkk,NEG,2
310,is mixing their children with their namoms,NEG,2
311,how do someone of someone who practice not suicide have learned,NEG,2
312,ga people are in the well in hole turtles or am too old,POS,1
313,grandson of bumpshah grandson of well well may zakubis nerchab,NEG,2
314,with what african leaders were english dont talk talk about human rights corrupt cars and toilets in summitable president,NEG,2
315,is this resort of restaurants ts energy yos delete for me,POS,1
316,or king shadaya talking touct voices for tomorrow,POS,1
317,the is merely fictitious organization acting as political party for the citizens hatinawo zviri nani here senyika kuisa hope panachamisa kuchengetera nyama mukanwa megarwe,NEG,2
318,to us have the big herts love more people at the same time,NEG,2
319,but to make four people,NEU,0
320,ga he wot win that one iy trust people gather for him tonight make real,NEU,0
321,and peanoooo,NEG,2
322,at gaah will be on paden hanis in realizing those people,POS,1
323,mark the father of you,POS,1
324,people want to lie to gathering no tongue without interruption without interruption has not been uninstitable with his team just as jis team just as we sold fridge and bought coopled box on pife,NEG,2
325,gimta is saibo and the four children will,POS,1
326,dreamed winky making song unfortunately lumped at an instantal and intro,POS,1
327,gasja is this boss kikiki,NEG,2
328,is not computer come to earth its the prices in usd that inflation shuts me up for when the money was stolen wig let it tie people,NEG,2
329,was meant to the wooden cattle wont be removed,NEG,2
330,hang good hunting you is good pherpterior to the end of the thief you,NEG,2
331,if youve been to harare chuntywizewiza and blooos expusure has already,NEG,2
332,the zimbabwe marriage act now stated as,POS,1
333,started to eat bean to our house blame them for it,NEG,2
334,knows what he is doing this prince is potentially unreasonable media,POS,1
335,ga big are you old using city when,POS,1
337,gu brown to proink to always time,NEG,2
338,loves this you should check out rackground rahari life of harry alfter huter di mother diplogist,NEG,2
339,prince phinu is the next guip to winder guys in the bible and ars thouugh,NEG,2
340,hehehe father,POS,1
341,winky is the captain of dancehall,POS,1
342,was very heavy we would be at home automatic pass,POS,1
343,does not matter this broad,NEG,2
344,trium mrs louder freeman when he hugged him on pic,POS,1
345,lithuium minging plant in platinum apps of platinum processes certland or chinese plant and steel plant,POS,1
346,back in the days to the river wheel mudi sti still alvill alvill alvill alvill alviriwa cow with light of light,NEU,0
347,grew up in the village dowing ths whes dowing oxdrawn ploughing there will be one holding the ploult amp pathers and charges the oxen when you have ploughing partner can escape the cattle it it was marvelous to her up daill,POS,1
348,especiary when you are in the midst of nohhey and you have one to tururn to,NEG,2
349,sprining sharehole drilling and casingeological survey extra mervers mmida us km nbrarara price spare on site,POS,1
350,did not have television house so dream of sweater and see your mois on the iphone,POS,1
351,dad has harare looking for your fame,NEG,2
352,pa on the top bunkas is the tradition,NEU,0
353,it depends on why how solvible whace was the wrests othe reprove may end the liberal cycle,NEG,2
354,bitter pill to solve previos medicus mede uswas loansharking hoseks lavosted infrustracuter infrustracry not on socialism fmi style,NEG,2
355,maothers children more,POS,1
356,baby from the people lobola connect relationships in the right some have mulatas mile miles chatters ummmmm let the people have afraid,NEU,0
357,the level is not high,POS,1
358,it the girls to nonin virgin they want to give them martandards they have not why shadaya to say that you complied to used gods,NEG,2
359,dont click the people,NEU,0
360,im father am in those things dont worry for me,POS,1
361,dont lie people its fake,NEG,2
362,seem like child of people will make tetanus,NEG,2
363,baby is senser denger,NEG,2
364,this habit has just started riot members only one official and then we are there,NEU,0
365,if it is clean and then tell each other to hit the people,POS,1
366,is special to eat in contentment in zim only the name is othelse she is giving woman the land yields nothing for the fana already registered for her ancestral land for the captivity of children billy ska south africans are better africa,NEG,2
367,shoo to come tell you already nxaa,NEG,2
368,gra come with pot sis string people,NEG,2
369,haha this baby,NEU,0
370,goes columgs coffee in madhla is gazelle in the field of summer coming modhlei,NEU,0
371,greetings to your altomers of sururday,POS,1
372,far from my favourites you hardened me just two months after was under slavery and you found it in the document,NEG,2
373,is their zanupf people,NEG,2
374,business dad,POS,1
375,wont beef converts of the columber of the harase every brain on the front μa they are eating rtgs,NEG,2
376,thinks that all of all lies we all lie of all,NEG,2
377,open the best studio in commerwizza and you don recard zimdancehall,POS,1
378,whatt did edda except of anging that scarf what mtkhula and nursing his sfea and nursing his sfea and nursing his sfellah wota and nursing his sfea and nursing his sfool spele and nursing his sfea and nursing his sfea and nursing his sfea and nursing his sfea and nursing his sfea and nursing his sfea and nursing his sfoer his sfea and nursing his sfe and nursing his sfea and nursing his sfea and nursing his sfea and nursing his sfoal pftsazts durts merering with,NEG,2
379,is dont greece are the kids of eds simplest of these matty,NEG,2
380,someone can distinguish serruup and connection of the tel,POS,1
381,your brains are the victims of twiwitter,NEG,2
382,people already leaves as far as machine with ghost and sit down,POS,1
383,the whirlle called fathers steven ive joined him,POS,1
384,guna do you know guys on the hous in the hatt of teach of timeer apa say that nama say that nama say afa as for me amp my friends with small budget eat so mach meat so usurrender,POS,1
385,no cover up praase bind people please down by corruption,NEG,2
386,raise the world that,NEU,0
387,list of most of misting musicans who pformed hicc was comazahage soluzachah kailuzacha deluzaha deartah kahuzacha dealuzaha dearta dearta deart harks rig fig folcped but winky fills the hicc up like man when her thigh is still alive winky is di goat he is the best musician of our generation,NEG,2
388,just like liked thever whok me fonw dont have time of exclusion just becase dont greece with shadya doont mean im bookry and angry and jut because and jut because and jut because and jut becamer and him dont nean dined virgin you dont have that mich knoow koit you refuse,POS,1
389,drat for others later alternative rather alternative view if youre against view if youre agaw nof sata not,NEG,2
390,in africa whoyver im out of zimbabwe home at africa,POS,1
391,house for sale in knbs usd houseopostofonopies propertybookzw,POS,1
392,soome people think monarch is everything in this live ask youiseellu why men men are vestitting suicide its not money nor deals gone of the wvneen svene is just awakenging common man of the every wavgemles of the sebbels of jezebelcummen for the empowed jezebels,POS,1
393,im protty sire she is the most beautiful lady in zimazim one numerous,POS,1
394,business of mentilatrator can earn money for games now cz people have wire symptoms while its breath pok,NEG,2
395,now mrs sport youre full of being socially married,NEG,2
396,it is ring but children for year in the middle of the md romance with him,NEU,0
397,is no case dont know no ones push just to know that life can be bad for manne single is not prblm pliz leaves prblm and see people live,NEG,2
398,awa doesnt eat mep work for whats eat afford,POS,1
399,gpxyou need two or three people who holds single meal while digging while digging and digged with dying sixnalhu machine you are up to going down according to the dish you can smell field or forest without being cutgpzwildlife,POS,1
400,father shook leasid and became macamakz released and ordered zora champion,POS,1
401,dont eat no more we multiplied kkkk you really wish you cold understand all because you know is to be said,POS,1
402,so do you also reflect the bible because mot writing of it was written rich you are arspeble womi respact your and our view is good of shadaya can be extreme but of the time he talks reality,NEG,2
403,if you said baby baby plus boo and too baby has been with mask with them,POS,1
404,eating the rout of hotplate,NEG,2
405,greman and killer filled arformed froom pm to am emaila does not album competitive with rada freeman relast year,POS,1
406,but they have children,NEU,0
407,stop enterrtaning people who are not wearing even in films right,NEG,2
408,is liked it and will like it ore gay gongs more than people,NEG,2
409,single momose husband pasband pasbands passed amail youve compared all baby gaby maura the problem with shadaa youre misguided in lif and thouughts your same stutents be somping ruving ay from the own deeds and seed and you come to calls,NEG,2
410,has begun to those people you are in our prays advocate,POS,1
411,rip ma riseib,NEG,2
412,respect dad youll get me shot for me just rugwa cute one with the too,POS,1
413,imagine if the pice of mole laptop can be inflated like these what more big assets aaaah is these terror some people can eat the death of its land zanupfamustgo,NEG,2
414,is cei ceach winna winky and missing details of the messiahs at charger,POS,1
415,are interested in meat,NEU,0
416,gorady should let us give us to give us his pennies to plunder what is currently curut hathwala and the other issue is,NEG,2
417,pancakes not been made by milk only thats why is called cake mopido is put on floors and other can be found that time,NEG,2
418,deever is the mofaace this manna than tractor with barans to this ball,NEG,2
419,spell you are sexual people who are afraid that they can stop you,NEG,2
420,even if you say its wish food chip our fox at as long as strander is party chairman,POS,1
421,zanu eating her kids,NEG,2
422,with your mage wont hurt your children,NEG,2
423,below that we use sustainable water is to eliminate it,POS,1
