shona,target
bro mwana uyu anokufarirai,1
ko jah prayzah ngaaukuwedzere ka wangu,-1
baba harare havanyore chirungu chakadaro aaaaah ndaramba,-1
vavachitukana kana uchida kukushora wokuzviita vese vari voga lt shows you are against kutukana noukama kwete shadaya mudzimai wemusikana,0
iti zvinhu zvinodyiswa sadza bt zvisingafanire,0
gweru ini ma traffic lights,-1
blasphemy uyu anoda kurohwa,-1
ndingurireiwo kuti shadayatsanana risiti riite kutaura kwake vatadza ndofunga sei kubva kare varume vaipamba nekuridzana vagari unoti kudii nemukomana washadaya uyu,-1
vanhu vakungoitira zvinhu zvirimo kah but kupera pano vanhu vipers havo,-1
nhai vana vevhu unoraramira kufa here kana kuti urikufa here,-1
this is embarrassing kukumbira kuuya kurufu apa worambirwa haaa vanhu vasadaro ndanyara hangu ini i hope this is fake,-1
haaaa kwakukura everything has an end baba,-1
balance me ndapota,1
15 kupiwa mari yekubatsira vanhu vemuharare mari yekusarudza kuswa mu forex nekuti maizvo zvakafanira kuunganidza forex mareti zvirokwazvo ano quality mu rtgs,0
these kids o lies u should reserve for vanhu venyu who r gullible,-1
ndataura izvi uyezve mafungiro evanopikisa anopikisa anopikisa musina kuminigi nezanu madhiri haana kuisa basa nechigaro chechigaro chekugadzirira chero achingoramba achibata vanyori vachiba mastands nekushandisa pfuma yavo zvisizvo vana vezim tiri tega,-1
rova musoro cde zve conservation ndezve vanhu vakapedza kuuraya dzavo kudhara,-1
gadheni reharare ngarirege kuitwa nekutonga enyika ccc shanga yashava,-1
asi moitira vanhu vana,0
marriage challenges are overrated vanhu vari kunakirwa mudzimba umu,-1
it s daylight witchcraft varoyi ndovanodya vanhu,-1
body of sadza man 51 found in shallow pit zrpáinvestigates,0
vakadzi vanokumbirwa kuti vauye nemagumbeze avo efleece kumakiriniki etrick mugweru makiriniki echiti akashuma kushomeka kwerineni 1000us inogona kutenga mapeya mamwe erineni kumakiriniki ewafa yegweru nekuda kwaizvozvi,-1
guys musatipe pressure uyu anonzi prince charles and is 73 but pese apa aigara na mhamha vake,-1
mamusina kutaura kuti ndepenyu mukoma,-1
ko vanhu munenge muchimbotukaniranei,0
vvd hameno zviri kuitika asi matip akazvibata modzosa fabinho shamwari zvichakadaro tinyengeterere ggmu isu tirikutevera mumutsara kupfura haaa pakaipa apa,1
wangu do away anything like pitbull watengera vana vako shumba shaa tengesaichinbj icho,0
uchanyebera vanhu iwe dzikama wamunhu mukuru handei pafree and fair election unoona kuti strategy and plan and ideology zviritiiiiiii election only,-1
tirikuda nharo dzinobatika wangu zvirikunzi kana izvi uinazvo uchaita sei usina mwana kana murume haupo kana murume achinge aita sei,0
hahahaha huya utore ic wako,0
kwese kudya,1
unodya sadza here,0
ndamuziva munhu uyu,0
just remove rice uise sadza moyo wako ufare,1
musikanangonzwa musikana wangu ega eloped but haako kumba kwedu am not okay,0
so today the team yakandibikira sadza after hours after a passionate request maita basa nekundirapa vanoti mambo,1
if she deserved munhu ane mota dai vanhu vane mota vari kumunyenga,0
madzimaititi pane akatiwandei matweep anoti shadaya ibhururu,0
ndopaunoona kuti some women brain chaidzo madoto uda kuroorwa ne5k inodyiwana bamunini then woenda kuroorwa akaroorwa mari dai makatoche geta 3k pamwe waitozotengerwawo honda fit kana kuti tangawo kabusiness,-1
kkkkkk ukuda kutukisa shadaya pano,0
thats proffessional to correct manje zanu yako zvese no appology you k mutisi you where head in a bar in joburg proud of no appology to gukurahundi next time say it pakazara vanhu,-1
vanhu varikushanda zvekuti eke,1
only realised recently kuti imwe mai yatainetsana nayo tichiti havasi varume vese vaive nedivorce suwo,-1
atotadzawo kudya zvaabika,-1
baba harare ngavambotipawo ka 2 cents nezviri muna muna job sikhala vapo 15 ve,-1
monologue hazvichinje zviri munamati on the ground uchasvinura hako mwana watete,-1
ngavandizive vao ndinohaya,-1
lets talk about this kugadzira mbudzi round about bhoo but mota dzinobva nekuna highglen road goin kuna beatrice road makazoti vanoenda nekupi zviya we cant be havin trucks usin our ghetto single lanes vana havachato famba muroad chimhanda zvakurirwa plizz help,-1
mwana arikungoda time newe nekuti uwedzere love wakaperera munhu uyu,1
they say kuti ndakakuchengetera mukadzi as if vaida ndivachengetere mwana wavo that thing should be abolished we guys dont benefit anymore,1
ndinovimba haisi uyu anorovesa,0
huya ndikupe basa rekuassembler pump,-1
guyz can you help me tovapa pano zvinhu zvedu vanhu ava,0
mabiro arikuita vanhu va ed haaaa hmmmm they are breaking records,-1
ndinonzwa jah prayzah firipo pajongwe ndakazorora mu room hazvidi zvekupinda mukati,1
mnangagwa dhiyabhorosi vatariri vagadzirise vagadzirise vagadzirise vagadzirise vagadzirise zvakare zvecentral committee vamnangagwa nevasina kunditutira chete vaconstantino chiwenga navakembo mohadi mohadimbure musina kupikisa kupikisa,1
asi yairi picnic ine tumaballoons yamamarongera mwana,-1
nhai mako vanhu ve ccc mdc havana kuitawo march here kuti bob abviswe and gave ed a chance saka why should you guys be going back in time munonamatana kuti iwe wakati ukati,-1
choose maprogram amune malink kuma varsity uko musazotinetsa makuda maattachment,-1
aiwa siyai mai chamisa mukurakasha isu tinongotarisana nevatambi vekutonga kwehupenyu kwete vemhuri yavo,-1
uyuwo uyu,-1
other income must be protected kusvika murufu,0
takakumaka baba j kusvika wati eke,-1
ndogara ndisina amana sadza slaps,0
guys ndiri kuendesa vanhu kwahonde huyai huyai kuholiday 263716806580,0
haisi nzvimbo chaiyo kuregererwa kunoitwa kune zvese zviri kunze kwekubatana kwekutaura kwebhiri ebhiri,0
paanoverenga kuverenga pakupera kwemuchato wamai tt angave achifungei,0
1 macheso 2 jp 3 vana winky d nana mark ngwazi ikoko,-1
southerton industrial stand for sale usd 150k eka yenzvimbo yakavhurika inosvika pahuwandu hwemapurojekiti pedyo neharare hospital kuti unofanira rumwe ruzivo kubvunza uye kuona tibate pa 263 772 133 427 263 713 420 078 0242 706424 704468,-1
13 apo anogadzirira mai sorobi ech es ech es essons dziripo dziripo dziripo dziripo kuti igadziriswe ibasa rekugadzirira semutambi uye mugadzirise wekugadzirisa vazhinji vedu tinofa tiri varombo muzimbabwe vhidhiyo iyi yakatorwa panguva yekuvigwa kwagringo zvinosuwisa,1
kkkkk kamwe kamutambiro kacho hakazoiti mhani kutamba kusvika mukosho vaita ziya haa mai king sando dzenyu,-1
ayehwa ana baba varikoo,1
vese pongomisagemezwo nekuzvibata kwako co e1mnxsqccj,-1
on point baba,1
baba harare ingotaurai zvenyu zvema attack idzi muchitsvaga malikes nemafollowers hazvishande or else focus on your jiti,-1
akanaka mwana uyu,1
ndoyakaita havadiwe vanhu ava udirirwa nyama jecha nana scarfmore,-1
sei muchitaura sekuti pane kuzadzisa chinangwa chiri pamusoro pe 2 vanomboita mashows vari 8 uye vachiri kubhadharisa 5 muharare,1
vagadzirise zvinovaka chengeta ark ark zvichienda kumagetsi zimbabwe co o5elvqmnwo,0
baba vangu vainzi chibhoyi vamwe vacho we don t even know the meaning,1
hahah for real haa apa tina winky d na jah prayzah tiribho hedu,-1
yah mudhara uyu ma 1,-1
mukuru tavaona nescurf yavo ikoko haaa anotimakisa mudhara uyu,-1
most of us relate bro but we keep on keeping on kusvika zvaita,-1
which god ityai mwari,-1
manje vanhu veko havana tweeter dei watoenda hako kuno taura pazviziviso kuradio zimbabwe,-1
zvinorwadza kana tichinzwa kuti pane zvaitwa zvakasiyana dai munhu akapona zvorwadza i wish ppl knew the process from admission pafirana umambo kushaikwa kwe timely attention uye urgency to presenting condition yemurwere kushaikwa nhengo yedare revanhu,-1
vagadzirise zvinovaka chengeta ark ark zvichienda kumagetsi zimbabwe co f6lto2km1l,1
kuzomara varume ivavo vamira zvinorapisa uye vanovimba zvakanyanya neshadaya varume vanovemba kufunga uye ndosaka vachidzidzira nyore nyore nevadzvanyiriri vanhu vanoverenga kuverenga pamwero zvekuti vanovimbika vachigara mu autohypnosis,-1
akubhowa iwe usataurira vanhu,-1
huya ipapo,1
kana kuti zvimwe angadai achireva achiti david willmer pocock akadzidza kuharvard kumutambo wegweru zimbabwe aadama seneta weaustralian capital territory semumiriri amarimba,-1
the way you defender shadaya he should make you his sidekick,-1
varsity hauone munhu unoona vanhu different type yezvidya nemagaro everyday unenge uchiona imwe type,0
ko shadaya munoti kudii naye president,0
uyu ngaauye zvake kwedu kumaero pachitungwiza apa mvura iri mumusoro make tinogona kusvika january tichichera,-1
uyu ndiye aka dzidzisa vasikana tsika iyoyo,-1
hahaha madhaka ari nani pane chimbumu zvopedza vanhu makumbo zvimaground zvenyu tikuda kutamba nemi muitalian sports club topeda nemi,1
kuti tive vemberi zvinokwanisika asika takazviudza kuti vanhu vaduku ndisu,-1
lol ndangoonawo some tweet and i laughed but vanhu ngavangorespectana so,0
uyu unenge ane ka dambudziko chete hazvipere mushe basi,-1
une maziso ekuona kwachamisa kutsvedza kwemutumutsi netwunhu tusina basa asi uchingotarisa miriyoni yeus dollars dziri kupambwa zuva rekushandisa manheru ndisingarevi mukurumbira ekuzvikudza erudzi rweruzhinji iri kutorerwa zvinhu namukuru,-1
zinwa inopa mvura kuguta reharare ndokumbira urege kubhadhara,0
huya pano wangu,1
unofunga kuti anga aitwasei na mellisa mukomana uyu,0
marry uyo anenyaya dzake dzirikumacourts dzaarikuvhika neurwere since tamunzwa achitaura anongoti hee havadi kuti ndione vana vangu hee arikushandisa power kundifixer hee ndatorerwa property hee havadi nepassport yangu ndinorapwa ko nyaya dzacho zvadzoita sedzemujolo wani,0
