UserID;Date/Time;topic;SearchTerm;emoticonBased;lexiconBased;Annotation 1;Annotation 2;Annotation 3;finalLabel5Classes;finalLabel3Classes;SN(Original Shona Tweet);ENGoogleTranslate
TravellerZw;2022-09-11 05:20:33;Finance;kumba;UNK;UNK;POS;VPOS;POS;POS;POS;@WambaJnr Kwana semari yebhazi plus zvitambi zvacho hazvigadzirwi kumba kwenyu;@WambaJnr Just like the bus fare plus the stamps are not made at your home
dungahermish;2022-09-25 17:49:14;Education;mwana;POS;POS;NEU;POS;POS;POS;POS;"@PettylilRi 1. Kure kwegava sharpened 
2. Mwana asingacheme anenge aguta mukaka????";"@PettylilRi 1. Far from the fox sharpened
2. A child who does not cry is full of milk????"
UnitedMissy;2022-09-21 20:55:38;Sanitation ;Vanhu;POS;POS;NEG;NEU;NEG;NEG;NEG;@ThaCART28499955 @CalmFreeboy @zayvjames @RealTalkFadzie Eh ini ndaenda chisarai muchitukira vanhu hupenyu hwavo ??;@ThaCART28499955 @CalmFreeboy @zayvjames @RealTalkFadzie Oh I'm gone don't stay insulting people's lives ??
jussy85;2022-09-15 13:47:12;Home_Affairs;Baba;UNK;NEG;VPOS;VPOS;POS;VPOS;POS;"@lodzaro @baba_nyenyedzi Taurai kublack market.

Isu Rega timbo fara zvedu.

?????? ???? ????.";"@lodzaro @baba_nyenyedzi Talk to the black market.

Let's have a little fun.

???? ??? ????."
MlamboElisa;2022-09-15 06:19:26;Sanitation ;Vanhu;UNK;UNK;NEU;VPOS;NEU;NEU;NEU;Kupa amai vako mazimari kuti vasawudze vanhu kuti nhumbu ndeyako. https://t.co/1V7zCBh0fM;Giving your mother money so that she won't tell people that the pregnancy is yours. https://t.co/1V7zCBh0fM
tinotendanyota;2022-09-16 17:30:08;Education;Vana;UNK;UNK;VPOS;NEU;NEU;NEU;NEU;@ourSimbarashe Ehekaka, isu ma landers. Unenge we City iwe vana mafikizolo;@ourSimbarashe Ehekaka, we landers. You are from the City, you fikizolo children
Takudzw56231570;2022-09-20 07:55:00;Sanitation ;Vanhu;UNK;UNK;NEG;NEG;VNEG;NEG;NEG;@magic_wacho Hauzi wakuitisa vanhu here wangu;@magic_wacho Aren't you leading people?
Bandafire208;2022-09-22 09:35:05;Home_Affairs;Baba;UNK;UNK;NEG;NEU;NEG;NEG;NEG;@Melsowethu Ummmm chero ndimiwo sisi baba naamai vachiona mwana akadhakwa kudai vanodemba zuva ravakazvitanga kuti muvepo ........ummmmmm musadaro makafitwa nekutoimba murikumberi mu church...mwari ngaakuitirei nyasha muzive nzira yakanaka AMEN;@Melsowethu Ummmm I'm the same sister, father and mother watching a child who is drunk and they regret the day they started for you to be there........ummmmmm don't be like that you got drunk singing in front of the church...may god bless you and know the right way AMEN
pluginczw;2022-09-15 04:27:40;Communication;harare;UNK;UNK;VPOS;POS;POS;POS;POS;"Fear of God Essentials Hoody (Silicon Print) 

??US85

#Essentials
#Theplug
#Zimbabwe @ Harare, Zimbabwe https://t.co/aProLwjJaH";"Fear of God Essentials Hoody (Silicon Print)

??US85

#Essentials
#Theplug
#Zimbabwe @ Harare, Zimbabwe https://t.co/aProLwjJaH"
PitsPitiri;2022-09-21 14:47:58;Education;mwana;POS;POS;POS;POS;NEU;POS;POS;"@vinnysf_ @historyinmemes @bosswala @ChitupaAyidhie

Honawo kuri kuwanika mwana wevhu????????";"@vinnysf_ @historyinmemes @bosswala @ChitupaAyidhie

There is also a child of the earth ????????"
AyandaBridget20;2022-09-23 04:47:59;Agriculture;kudya;UNK;UNK;NEG;NEG;NEU;NEG;NEG;@MCMISH05 @Bellamelz12 @t_kachidza Saka unoda kudya cashel valley yemahara;@MCMISH05 @Bellamelz12 @t_kachidza So you want to eat cashel valley for free
kudakuziva;2022-09-17 19:50:24;Education;Vana;UNK;UNK;NEG;NEU;NEG;NEG;NEG;@daddyhope Kkkk varakashi vana VA satan;@daddyhope Kkkkk these four are satan
ManFromTheUncle;2022-09-10 18:36:33;Finance;uyu;POS;POS;NEU;VNEG;VNEG;VNEG;NEG;@NowAvailable21 @kingveshto @magic_wacho Aaaaah, uyu munhu ndrikumuziva…pastor, asi maitwa plastic surgery yeFace isiri yenyu?????? https://t.co/Q5Z6b4WcF8;@NowAvailable21 @kingveshto @magic_wacho Aaaaah, this is a person I know...pastor, but you got plastic surgery for a face that's not yours?????? https://t.co/Q5Z6b4WcF8
Tinashe_Tinz95;2022-09-14 05:14:55;Sanitation ;Vanhu;UNK;UNK;NEU;NEG;NEU;NEU;NEU;@akeem_sekenya Word bro!! Unotomuka uchinzwa dzungu nenzara haaaaa ndopatichatanga kudya vanhu ipapa aaah;@akeem_sekenya Word bro!! You wake up feeling dizzy and hungry, haaaaa, that's when we start eating people
kingzebra263;2022-09-25 01:16:01;Defence;chamisa;UNK;NEG;NEU;VNEG;NEU;NEU;NEU;Unenge watoenda zvako kunovhota wowana everything chiri vice versa. Emerson Chamisa ..... Nelson Munangagwa unovhotera Ani?;You have already gone to vote and found everything is vice versa. Emerson Chamisa ..... Nelson Munangagwa Who do you vote for?
optique_zw;2022-09-21 07:32:05;Home_Affairs;Baba;UNK;UNK;POS;POS;VPOS;POS;POS;@SmurfMinion @Mshollah @mobile_tech_zim @antomukuwa Baba tine vanhu vanoenda kuDubai every week saka ukandiudza kuti ndizive pane ? shop here.????????;@SmurfMinion @Mshollah @mobile_tech_zim @antomukuwa Dad we have people going to Dubai every week so can you tell me if there is a ? shop.????????
NhariNyamasvi;2022-09-17 09:32:17;Education;Vana;UNK;NEG;VNEG;NEU;VNEG;VNEG;NEG;"@TembaMliswa Pakaipa apa wangu, corruption yacho inoshamisa.

Vana vevhu ngatinyorese tose kuvhota.";"@TembaMliswa My bad, the corruption is amazing.

Children of the earth, let's all register to vote."
_bee_zw;2022-09-23 05:33:20;Education;mwana;UNK;UNK;NEG;NEG;VNEG;NEG;NEG;"@SmangoVacho @ShadayaKnight @mr_zim_fit Zvagara mukwasha anobvisa zvaakareva.

Chero akauya ndinyorei kumusana what matters is that auya. Chero akangosvika akabata mbudzi. Munoti vabereki hava reason here.The family will still appreciate him zvasiya nekungotora mwana wevanhu motochaya mapoto.

Ndicho chiito";"@SmangoVacho @ShadayaKnight @mr_zim_fit Usually the brother-in-law takes back what he said.

If he comes, write me on the back what matters is that he has come. As soon as he arrived, he held a goat. You say that the parents have no reason. The family will still appreciate him for taking the children of the people in a car.

That's action"
tman33z;2022-09-22 15:12:22;Sanitation ;Vanhu;UNK;UNK;NEU;VNEG;NEU;NEU;NEU;@NomaSapienTR Seriously I see hangu vanhu pano paBird app vachitamba nenyaya iyi but gosh it's highly sensitive. In classification terms inowira pasi pe TOP SECRET kkkkkkkkk;@NomaSapienTR Seriously, I see people here on Bird app playing with this issue but gosh it's highly sensitive. In classification terms it falls under TOP SECRET kkkkkkkkk
Advisor11054596;2022-09-17 03:29:34;Sanitation ;Vanhu;UNK;UNK;NEG;NEU;NEG;NEG;NEG;"@KMutisi Wabva rinhi kumusha usingazizive kuti Zanupf inodzvanyirira vanhu????

Kanakuti unoziziva zvako urikuita seunopenga????";"@KMutisi When did you leave home without knowing that Zanupf oppresses people????

Or do you know yourself and you are acting crazy????"
Doro_renyika;2022-09-13 14:18:35;Finance;uyu;UNK;POS;NEU;VPOS;NEU;NEU;NEU;@lleony Ok tashaya zvedu RIP ne in Loving Memory of, but munhu uyu atorimupenyu here?;@lleony Ok we are gone RIP and in Loving Memory of, but is this person still alive?
don_nemaz;2022-09-20 05:13:28;Sanitation ;Vanhu;POS;POS;POS;NEU;POS;POS;POS;@i_am_chantel22 ?????????? vatovhurira mukana mukana in the name of hustling;@i_am_chantel22 ?????????? they have already opened up an opportunity in the name of hustling
MadzimaiTiti;2022-09-20 09:15:59;Sanitation ;Vanhu;UNK;UNK;NEG;VNEG;NEG;NEG;NEG;"@Stizzy_That_Guy Aka kanembiri yeku blocker vanhu aka
Ndaa kakazoibvisa tint yacho hameno";"@Stizzy_That_Guy This is a double blocker for these people
Then I removed the tint, I wonder"
FRcombo;2022-09-22 11:26:03;Music;Shadaya;UNK;UNK;NEG;NEU;NEG;NEG;NEG;@Mundirangarireo @TateTee89 @ElliotLinksync @ShadayaKnight makono bhobho hadzisi hunobva paruzivo rwose. Hunhu hunoita kufevedzera kufevesa. Sekuona kwangu 79% yevakadzi vanoita..... Kwte kungoti tika. Semunhu akaita grade 7 chete;@Mundiyamulereo @TateTee89 @ElliotLinksync @ShadayaKnight these words are not based on all knowledge. A quality that makes you smell good. In my opinion, 79% of women do..... It's not just for fun. As someone who only did grade 7
LazarusFabion;2022-09-24 21:49:40;Music;Shadaya;UNK;POS;POS;NEU;POS;POS;POS;Man this is bad rega zvinzi usavimbe nemunhu. Shadaya akandiita kuti ndisatenda murudo apa everyday dzotouchanise color yembatya dzekupfeka ?????? https://t.co/wA7FqKdlHv;Man this is bad, don't trust anyone. Shadaya made me not believe in love, every day they match the color of the clothes to wear ?????? https://t.co/wA7FqKdlHv
stix263;2022-09-22 05:27:31;Home_Affairs;Baba;UNK;UNK;POS;VPOS;POS;POS;POS;Unobva wasangana vari baba vako neka youngste, haaa all i know is baba havana ngozi ???? https://t.co/0aPBpsO16D;Then you meet your father and youngster, haha ??all I know is father is safe ???? https://t.co/0aPBpsO16D
timiretimzzy2;2022-09-17 23:32:01;Sanitation;kusvika;UNK;UNK;NEG;VNEG;NEG;NEG;NEG;@amukawu52 kusvika machema;@amukawu52 until you cry
Tinoedzazvimwe1;2022-09-19 10:56:46;Sanitation ;Vanhu;UNK;UNK;POS;NEU;POS;POS;POS;@chadira86 Tinosizvireva pano vamwe vofunga kuti taguta waini itsva!!! Vanhu ingovai nechimiro nekusazvizvidza kuti vanotevera vaone semucherechedzo!!!!;@chadira86 We don't mean it here and some people think we are full of new wine!!! People just have a style and don't look down on yourself so that those who follow will see it as a sign!!!!
XRufaro;2022-09-19 15:21:23;Sanitation ;Vanhu;UNK;UNK;NEU;NEU;VPOS;NEU;NEU;@zanupf_patriots Inga akabuda achit akubata re Zanu....plus misangano ndeye vanhu anoinda kwaada;@zanupf_patriots Inga came out and called you Zanu.... plus meetings are for people who go where they want
Mukwasha_Nyama;2022-09-19 21:27:36;Agriculture;nyama;UNK;POS;NEG;VNEG;VNEG;VNEG;NEG;@TheOwnGoat @kinglyself Angoriwo mashoko ekuzvinyaradza aya Mukoma;@TheOwnGoat @kinglyself These are just words of comfort, Brother
cdemanimanzi;2022-09-12 17:51:01;Finance;uyu;UNK;UNK;NEG;NEG;VNEG;NEG;NEG;@Denzoo99 @daddyhope Tichaona Putin, Biden, Obama unozvipa zita. Sei muchida kuti ED aiteda uye imi vanhu ?? uyu ndinofanira kunyorwa kuti ipera kwete weclub ccc.;@Denzoo99 @daddyhope We'll see Putin, Biden, Obama you name it. Why do you want ED to love it and you people ?? this should be written to end not club ccc.
KiloJoe;2022-09-15 13:28:03;Finance;uyu;UNK;POS;NEG;NEU;NEU;NEU;NEU;@thabanimnyama Akuda kuenda kuBritian mfanha uyu ndamuona;@thabanimnyama I saw this guy who wants to go to Britain
_Akache;2022-09-21 10:07:10;Agriculture;kudya;UNK;UNK;NEG;VNEG;NEG;NEG;NEG;@blak_immigrant @fortunechasi @waltermzembi @HHichilema Ahhh Walter is just another Kasuwere and Jonathan..... Vakadzingwa muZANUPF vakashaya zvekuita zvinodzoka kuita all nice..... Kikikiki...... Ndozvazvinoita kana wanga wajaira kudya tax payers money;@blak_immigrant @fortunechasi @waltermzembi @HHichilema Ahhh Walter is just another Kasuwere and Jonathan..... They were kicked out of ZANUPF and they had nothing to do and it's all nice..... Kikikiki...... That's what happens when you're used to eating tax payers money
MungureRufaro;2022-09-22 05:29:34;Sanitation ;Vanhu;UNK;UNK;NEU;VPOS;NEU;NEU;NEU;"Vanhu vanoisa Instagram vanobata avo paTL vachiti ""please follow me on Instagram"", <<<<<<";"People who post Instagram contact those on TL saying ""please follow me on Instagram"", <<<<<<"
Pollin82685314;2022-09-10 21:37:39;Finance;uyu;UNK;NEG;VNEG;NEU;VNEG;VNEG;NEG;@LynneStactia Mudhara ane mweya wengozi chaiwo uyu nxaaa;@LynneStactia This old man has a very dangerous spirit
realman13918508;2022-09-11 07:59:50;Communication;harare;UNK;UNK;NEG;NEG;NEU;NEG;NEG;"@nickmangwana @cohsunshinecity Nyika inoputswa nevene vayo..
Tikunzwei muchiti Harare yakasviba futi and start blaming CHAMISA.";"@nickmangwana @cohsunshinecity The world is destroyed by its own people..
Hear us saying that Harare is dirty again and start blaming CHAMISA."
CandiceChihota;2022-09-27 03:48:33;Defence;chamisa;UNK;UNK;POS;POS;NEU;POS;POS;@tawanda_gomo @mutami_susan #Citizens zvanaSuzie hazviteedzerwi, she wld hv been paid nanaChamisa & his handlers to speak ill of the Zim leadership manje vakanyura, dzoserwai mari yenyu chamisa muipe @cohsunshinecity atakurise marara hake Harare icheneo;@tawanda_gomo @mutami_susan #Citizens like Suzie are not being followed, she wld hv been paid by Chamisa & his handlers to speak ill of the Zim leadership now they have sunk, give your money back Chamisa and give @cohsunshinecity to pick up the garbage but Harare is empty
flixiraccountin;2022-09-22 14:16:54;Defence;chamisa;UNK;NEG;POS;POS;NEU;POS;POS;@BeholdTendai @JSamanyara @EdmundKudzayi Kuti ndiye Mwari kana airamba kumuona vanhu tinovhotera munhu watinoda.Chamisa ndiye arikurira;@BeholdTendai @JSamanyara @EdmundKudzayi That he is God, if people refused to see him, we would vote for the person we like.
tamukamamukawo;2022-09-09 15:14:25;Sanitation;kusvika;UNK;UNK;POS;POS;NEU;POS;POS;@TapiBobo @hbanhire Kuba kusvika road yakunzi ine zvimaKangai;@TapiBobo @hbanhire Steal until the road is said to have Kangai
BrianMatonsi;2022-09-23 08:32:46;Agriculture;imbwa;UNK;POS;VNEG;VNEG;NEU;VNEG;NEG;@ourSimbarashe @RossiPenyayi Unenge uchiita kunge imbwa yapinda muchurch. Vanhu ngavatsvage ma base ari secure for such engagements;@ourSimbarashe @RossiPenyayi You look like a dog has entered the church. People should look for secure bases for such engagements
TawandaIam;2022-09-27 13:46:17;Agriculture;kudya;UNK;UNK;POS;VPOS;VPOS;VPOS;POS;@NomaSapienTR the concept of the beans dzotonzwisa nzara wapedza kudya;@NomaSapienTR the concept of the beans will make you hungry after eating
munyaradzimana;2022-09-14 02:11:53;Sanitation ;Vanhu;UNK;UNK;NEU;NEU;NEG;NEU;NEU;@lionel_sauro Haaaaaaa vanhu ava soooo;@lionel_sauro Haaaaaaa these people are soooo
_vpart;2022-09-16 05:49:00;Sanitation ;Vanhu;UNK;UNK;NEU;NEG;NEU;NEU;NEU;@zivanai1991 student anotakura vanhu here;Does @zivanai1991 student transport people?
lobovybz;2022-09-22 12:06:15;Sanitation ;Vanhu;UNK;UNK;NEG;NEG;VNEG;NEG;NEG;@washymarkus @tha_boy_tinky @reuphanuel Vanhu vari horny shuwa coz hayii mhani https://t.co/IWyFiVejT7;@washymarkus @tha_boy_tinky @reuphanuel People are horny shuwa coz what's up man https://t.co/IWyFiVejT7
shingie_mash;2022-09-14 08:44:21;Education;Vana;POS;POS;VPOS;POS;VPOS;VPOS;POS;@tawanda_gomo Vana vangu ndiombererei maoko ndakutengerai chingwa nemazai nhasi??????;@tawanda_gomo My children, please give me a hand when I bought you bread and eggs today??????
_vpart;2022-09-18 08:46:56;Sanitation ;Vanhu;POS;POS;POS;POS;VPOS;POS;POS;@Mukanya_Ndini @Dhahomey_Asante @Chi_Town_Wacho vanhu veku boarding ndovamwe vakapusa ??????;@Mukanya_Ndini @Dhahomey_Asante @Chi_Town_Wacho boarding people are stupid ??????
benyaleinv;2022-09-25 21:36:02;Agriculture;sadza;UNK;UNK;NEU;NEG;NEU;NEU;NEU;@darozvi Sadza $5 mari tichienda ndokuti sadza asi mu _$10 anything else tenge takutobhowa;@darozvi Pay $5 money as we go and he said pay but in _$10 anything else let's buy it
nicolehondo;2022-09-21 06:41:57;Defence;chamisa;UNK;UNK;NEU;POS;POS;POS;POS;CCC @CCCZimbabwe inokumbira kumutungamiri wekutungamirira mukufambisa mukufambisa nhema mhondi. Kukumbira kuvigwa kunouya mushure mekunge vatsividze nemhosva. Kusanyara! @USEmbZim @UKinZimbabwe @euinzim @CanEmbZimbabwe https://t.co/BHMcOaYobP;CCC @CCCZimbabwe appeals to the leader to lead the way in spreading lies and murder. The request for burial comes after they have avenged the crime. Shameless! @USEmbZim @UKinZimbabwe @euinzim @CanEmbZimbabwe https://t.co/BHMcOaYobP
Stavoo23;2022-09-24 04:57:29;Agriculture;kudya;POS;NEG;NEG;NEG;VNEG;NEG;NEG;@Kays_wacho @mutserendende Munhu anotadza kudya sadza nema feelings epa twitter  kaa ??;@Kays_wacho @mutserendende A person who can't eat satza with feelings on twitter kaa ??
OswaldR99;2022-09-15 13:02:06;Sanitation ;Vanhu;UNK;UNK;NEU;VNEG;NEU;NEU;NEU;@chitowamombe14 Kudzidzira umlando tiri vanhu vechirume.;@chitowamombe14 Learning history as men.
Nathimacruber;2022-09-18 07:43:16;Sanitation ;Vanhu;UNK;UNK;NEG;VNEG;NEG;NEG;NEG;@_dxffodil Vanonyima vanhu ivavo;@_dxffodil They deprive those people
StarfmZimbabwe;2022-09-21 13:35:13;Home_Affairs;Baba;UNK;UNK;NEG;NEU;NEG;NEG;NEG;Join @MissDonna001 na @baba_vako live izvozvi kusvika 6pm paStar FM https://t.co/fln6ryzaO5;Join @MissDonna001 and @baba_vako live now until 6pm on Star FM https://t.co/fln6ryzaO5
Emma231089;2022-09-20 05:25:57;Music;Shadaya;UNK;UNK;VPOS;NEU;NEU;NEU;NEU;@Millycent03 Akatadza shuga shuga ozogona Shadaya here;@Millycent03 He failed sugar sugar then can Shadaya
taudereck;2022-09-11 11:49:52;Communication;harare;UNK;UNK;NEG;VNEG;NEG;NEG;NEG;@HarareNdini @BabaHarare1 Asi ane matwitter here magumboots a'baba' vako nhaiwe Harare wacho;@HarareNdini @BabaHarare1 But does your 'daddy' gumboots have a Twitter account?
TORNADOZW;2022-09-24 20:31:22;Agriculture;nyama;UNK;UNK;NEU;POS;POS;POS;POS;"@MudharaNzou Dwadwa - ka baby ka nyama

????";"@MudharaNzou Dwadwa - ka baby ka nyama

????"
AdultRapeClinic;2022-09-15 14:40:37;Communication;harare;UNK;UNK;POS;VPOS;POS;POS;POS;CHEBLY rino ARC Team iri kubatana neKadoma City Health kumutambo weAll Councilors’ Indaba urimunaMwiri. Chikwata chiri madokero nezveSRHR, GBV neDevolution nevakuru venzvimbo. https://t.co/6yrntMLCcv;CHEBLY this year the ARC Team is collaborating with Kadoma City Health at the All Councilors' Indaba event in Mwiri. The team is in the west about SRHR, GBV and Devolution with local authorities. https://t.co/6yrntMLCcv
kynashmapurisa;2022-09-24 15:35:48;Agriculture;nyama;UNK;NEG;NEG;NEU;NEG;NEG;NEG;@NdimloUnathi Tirikunwa mvura ??;@NdimloUnathi We are drinking water ??
NicksonMpofu;2022-09-19 07:54:34;Sanitation ;Vanhu;UNK;UNK;VNEG;NEU;NEU;NEU;NEU;@EmTeeEn_ Fun Cargo inopinda vanhu 16.;@EmTeeEn_ Fun Cargo fits 16 people.
mrwhyclub01;2022-09-22 10:56:31;Agriculture;nzara;UNK;UNK;NEU;NEG;NEU;NEU;NEU;@tnash_kucci Ko kna ndine nzara;@tnash_kucci Why am I hungry?
Washville_zw;2022-09-18 07:14:56;Communication;harare;UNK;UNK;NEG;VNEG;NEG;NEG;NEG;@juice_world_zw Nzvimbo iri muHarare inonzi Binga;@juice_world_zw The place in Harare is called Binga
DrPrinceSibanda;2022-09-16 19:01:47;Communication;chitungwiza;UNK;UNK;VNEG;NEU;NEU;NEU;NEU;"@TereraiSithole 1. Kuenderera mberi nekupara mhosva kwaJobho & kusvirwa kuti pasina kunyorwa hakuna kururama
2.Musanganiswa wenyaya wezvematongerwo enyika nekupazamisa kutaridzirwa nenhaurirano paED naChamisa
3.Chitungwiza kunyora mugwara asi ROAD BLOCKADE & HAZARD HAIGWIRIRWI";"@TereraiSithole 1. Job's continued crime & being burned without writing is wrong
2. A mix of political issues and wide attention to the discussion on ED and Chamisa
3. Chitungwiza to write in the road but ROAD BLOCKADE & HAZARD IS NOT AVAILABLE"
ChirereTanatswa;2022-09-16 03:41:08;Sanitation ;Vanhu;UNK;UNK;NEG;VNEG;NEG;NEG;NEG;@zimstat Trade deficit or unfavorable balance of trade for that other country we trading with, or edu adzika coz mukutorera vanhu zvinhu pa boarder.;@zimstat Trade deficit or unfavorable balance of trade for that other country we trade with, or ours has decreased coz in taking things from people at the boarder.
CelinaHatidani;2022-09-20 03:19:52;Sanitation ;Vanhu;UNK;UNK;NEG;NEU;NEG;NEG;NEG;@NicholasDuma10 Ende vanhu kukwereta huku soo;@NicholasDuma10 Go borrow chickens too
